Sender, Receiver, Distance, #hops, Total Time, Used Backbone
1, 196, 179.095312, 20, 80000.018658, false
1, 18, 31.642741, 3, 29999.980227, false
1, 84, 139.108917, 14, 60000.030618, false
1, 76, 68.882812, 5, 49999.958707, false
1, 28, 131.265574, 14, 79999.999166, false
1, 47, 49.174981, 5, 40000.041262, false
1, 107, 104.025935, 13, 89999.986760, false
1, 151, 137.765625, 12, 119999.999709, false
1, 84, 139.108917, 14, 59999.994939, false
1, 18, 31.642741, 3, 30000.013304, false
1, 63, 71.171429, 8, 59999.977839, false
1, 55, 124.103541, 12, 50000.020155, false
1, 82, 120.343153, 12, 45999.989034, true
1, 36, 72.963621, 7, 35000.025344, true
1, 168, 166.834801, 19, 68999.953231, false
1, 23, 81.117909, 9, 60000.030761, false
1, 40, 112.369544, 11, 50000.009415, false
1, 166, 151.542187, 18, 59999.974848, false
1, 51, 85.363898, 9, 50000.028399, false
1, 11, 100.714286, 10, 99999.992507, false
1, 107, 104.025935, 13, 89999.970160, false
1, 83, 129.674396, 13, 50000.007529, false
1, 167, 159.053478, 18, 60000.023166, false
1, 37, 82.735694, 8, 41999.986327, true
1, 6, 50.357143, 5, 47999.989107, false
1, 7, 60.428571, 6, 60000.018816, false
1, 33, 44.456482, 4, 37999.982547, true
1, 66, 98.131990, 11, 42000.025633, false
1, 7, 60.428571, 6, 59999.997487, false
1, 16, 13.776562, 1, 9999.987208, false
1, 40, 112.369544, 11, 50000.006582, false
1, 13, 120.857143, 12, 119999.991064, false
1, 81, 111.141205, 13, 49999.993567, false
1, 92, 90.284052, 11, 80000.018228, false
1, 78, 84.730455, 10, 70000.003102, false
1, 83, 129.674396, 13, 49999.967952, false
1, 10, 90.642857, 9, 89999.999180, false
1, 7, 60.428571, 6, 60000.002022, false
1, 109, 120.303813, 15, 50000.027929, false
1, 112, 146.533037, 16, 59999.986589, false
1, 54, 114.318478, 12, 50000.005459, false
1, 41, 122.310625, 13, 60000.012655, false
1, 64, 79.900000, 9, 59999.989169, false
1, 121, 110.212500, 9, 89999.984245, false
1, 28, 131.265574, 14, 80000.000632, false
1, 91, 82.659375, 6, 60000.030685, false
1, 36, 72.963621, 7, 40999.990228, true
1, 20, 51.226964, 6, 48999.972815, false
1, 12, 110.785714, 11, 110000.027630, false
1, 34, 53.752040, 5, 38999.969962, true
1, 24, 91.128961, 10, 51000.018715, false
1, 80, 102.103514, 12, 60000.009646, false
1, 55, 124.103541, 12, 49999.975010, false
1, 12, 110.785714, 11, 110000.037935, false
1, 80, 102.103514, 12, 60000.001680, false
1, 126, 150.987850, 17, 59999.972613, false
1, 7, 60.428571, 6, 60000.014046, false
1, 52, 94.928223, 10, 49999.989908, false
1, 65, 88.912964, 10, 60000.006596, false
1, 48, 57.715525, 6, 39999.975304, false
1, 107, 104.025935, 13, 89999.995387, false
1, 42, 132.271429, 13, 60000.031017, false
1, 94, 106.757143, 15, 60000.002017, false
1, 106, 96.435937, 8, 79999.970948, false
1, 98, 142.559640, 15, 60000.037018, false
1, 54, 114.318478, 12, 49999.972822, false
1, 9, 80.571429, 8, 80000.007117, false
1, 93, 98.349962, 12, 80000.014084, false
1, 13, 120.857143, 12, 120000.004220, false
1, 154, 161.177824, 19, 69999.960864, false
1, 153, 153.109271, 18, 60000.015012, false
1, 69, 126.570964, 12, 50000.001108, false
1, 36, 72.963621, 7, 40999.996204, true
1, 48, 57.715525, 6, 38999.996126, false
1, 14, 130.928571, 13, 130000.009773, false
1, 65, 88.912964, 10, 59999.995277, false
1, 14, 130.928571, 13, 130000.005671, false
1, 9, 80.571429, 8, 80000.013438, false
1, 181, 165.318750, 19, 69999.995221, false
1, 167, 159.053478, 18, 60000.003012, false
1, 182, 172.818202, 19, 69999.988356, false
1, 40, 112.369544, 11, 50000.002827, false
1, 107, 104.025935, 13, 90000.018614, false
1, 62, 62.845858, 7, 50000.003115, false
1, 7, 60.428571, 6, 59999.973149, false
1, 136, 123.989062, 10, 100000.024149, false
1, 181, 165.318750, 19, 69999.991589, false
1, 65, 88.912964, 10, 59999.966337, false
1, 92, 90.284052, 11, 80000.006936, false
1, 42, 132.271429, 13, 60000.018313, false
1, 39, 102.453928, 11, 50000.022917, false
1, 2, 10.071429, 1, 9999.998156, false
1, 27, 121.222147, 12, 69999.983460, false
1, 33, 44.456482, 4, 37999.978018, true
1, 31, 27.553125, 2, 12000.028515, false
1, 42, 132.271429, 13, 60000.005481, false
1, 17, 22.228241, 2, 19999.976709, false
1, 55, 124.103541, 12, 50000.023197, false
1, 34, 53.752040, 5, 38999.984879, true
1, 41, 122.310625, 13, 50999.973020, false
