Sender, Receiver, Distance, #hops, Total Time, Used Backbone, Order
1, 196, 179.095312, 13, 130000.018009, false, 0
1, 26, 111.183787, 12, 69999.999684, false, 1
1, 79, 93.277838, 8, 80000.000670, false, 2
1, 79, 93.277838, 11, 70000.000888, false, 3
1, 18, 31.642741, 3, 29999.994785, false, 4
1, 18, 31.642741, 3, 29999.991261, false, 5
1, 140, 155.882811, 13, 130000.033161, false, 6
1, 140, 155.882811, 18, 69999.969951, false, 7
1, 48, 57.715525, 5, 49999.998208, false, 8
1, 48, 57.715525, 6, 40000.015212, false, 9
1, 48, 57.715525, 5, 50000.016653, false, 10
1, 48, 57.715525, 6, 39999.978958, false, 11
1, 78, 84.730455, 7, 69999.987904, false, 12
1, 78, 84.730455, 10, 70000.009413, false, 13
1, 41, 122.310625, 12, 80000.028880, false, 14
1, 41, 122.310625, 13, 59999.985960, false, 15
1, 182, 172.818202, 13, 130000.013864, false, 16
1, 182, 172.818202, 19, 69999.971375, false, 17
1, 66, 98.131990, 9, 90000.029180, false, 18
1, 66, 98.131990, 11, 49999.982413, false, 19
1, 36, 72.963621, 7, 50999.987108, false, 20
1, 36, 72.963621, 7, 40000.015439, true, 21
1, 10, 90.642857, 9, 88999.979017, false, 22
1, 10, 90.642857, 9, 90000.015676, false, 23
1, 5, 40.285714, 4, 39999.971248, false, 24
1, 5, 40.285714, 4, 40000.019122, false, 25
1, 61, 55.106250, 4, 39999.994913, false, 26
1, 61, 55.106250, 4, 40000.012974, false, 27
1, 168, 166.834801, 13, 130000.016379, false, 28
1, 168, 166.834801, 19, 69999.989160, false, 29
1, 167, 159.053478, 12, 119999.984543, false, 30
1, 167, 159.053478, 18, 60000.004871, false, 31
1, 6, 50.357143, 5, 49999.980947, false, 32
1, 6, 50.357143, 5, 50000.046046, false, 33
1, 91, 82.659375, 6, 59999.975500, false, 34
1, 91, 82.659375, 6, 60000.024512, false, 35
1, 55, 124.103541, 12, 119999.982986, false, 36
1, 55, 124.103541, 12, 49999.969063, false, 37
1, 66, 98.131990, 9, 90000.047457, false, 38
1, 66, 98.131990, 11, 49999.978035, false, 39
1, 16, 13.776562, 1, 9999.976173, false, 40
1, 16, 13.776562, 1, 10000.032530, false, 41
1, 92, 90.284052, 7, 69999.977741, false, 42
1, 92, 90.284052, 11, 80000.029200, false, 43
1, 121, 110.212500, 8, 79999.962933, false, 44
1, 121, 110.212500, 9, 90000.002332, false, 45
1, 42, 132.271429, 13, 89999.995856, false, 46
1, 42, 132.271429, 13, 60000.038700, false, 47
1, 23, 81.117909, 8, 80000.007516, false, 48
1, 23, 81.117909, 9, 59999.988775, false, 49
1, 41, 122.310625, 12, 79999.991002, false, 50
1, 41, 122.310625, 13, 60000.014724, false, 51
1, 28, 131.265574, 13, 130000.003312, false, 52
1, 28, 131.265574, 14, 79999.975643, false, 53
1, 125, 142.342857, 12, 119999.989502, false, 54
1, 125, 142.342857, 16, 49999.993708, false, 55
1, 10, 90.642857, 9, 90000.001754, false, 56
1, 10, 90.642857, 9, 90000.016188, false, 57
1, 21, 61.155312, 6, 59999.992977, false, 58
1, 21, 61.155312, 7, 59999.990473, false, 59
1, 42, 132.271429, 13, 90000.032456, false, 60
1, 42, 132.271429, 13, 59999.987226, false, 61
1, 168, 166.834801, 13, 130000.008952, false, 62
1, 168, 166.834801, 19, 70000.012003, false, 63
1, 196, 179.095312, 13, 129999.984922, false, 64
1, 196, 179.095312, 20, 80000.000588, false, 65
1, 109, 120.303813, 10, 100000.002679, false, 66
1, 109, 120.303813, 15, 49999.965280, false, 67
1, 107, 104.025935, 8, 80000.012122, false, 68
1, 107, 104.025935, 13, 90000.018491, false, 69
1, 63, 71.171429, 6, 59999.977245, false, 70
1, 63, 71.171429, 8, 60000.012222, false, 71
1, 122, 117.775921, 9, 90000.023208, false, 72
1, 122, 117.775921, 17, 59999.987968, false, 73
1, 39, 102.453928, 10, 60000.011072, false, 74
1, 39, 102.453928, 11, 49999.996333, false, 75
1, 56, 133.931067, 13, 129999.996529, false, 76
1, 56, 133.931067, 13, 60000.010866, false, 77
1, 39, 102.453928, 10, 59999.963379, false, 78
1, 39, 102.453928, 11, 49999.993734, false, 79
1, 70, 136.220596, 13, 130000.040919, false, 80
1, 70, 136.220596, 13, 59999.978278, false, 81
1, 17, 22.228241, 2, 19999.979888, false, 82
1, 17, 22.228241, 2, 20000.020151, false, 83
1, 69, 126.570964, 12, 120000.006888, false, 84
1, 69, 126.570964, 12, 49999.995719, false, 85
1, 121, 110.212500, 8, 79999.986176, false, 86
1, 121, 110.212500, 9, 89999.998861, false, 87
1, 106, 96.435937, 7, 69999.994076, false, 88
1, 106, 96.435937, 8, 80000.035168, false, 89
1, 2, 10.071429, 1, 9999.999208, false, 90
1, 2, 10.071429, 1, 9999.974288, false, 91
1, 5, 40.285714, 4, 39999.996735, false, 92
1, 5, 40.285714, 4, 40000.017170, false, 93
1, 3, 20.142857, 2, 19999.991687, false, 94
1, 3, 20.142857, 2, 20000.011153, false, 95
1, 53, 104.587797, 10, 99999.980618, false, 96
1, 53, 104.587797, 10, 44000.024836, true, 97
1, 12, 110.785714, 11, 106000.010682, false, 98
1, 12, 110.785714, 11, 109999.989199, false, 99
