Sender, Receiver, #hops, Total Time
1, 196, 20, 45000.008023
1, 181, 19, 40000.015171
1, 56, 13, 34999.999139
1, 136, 10, 49999.976196
1, 149, 17, 64999.985484
1, 97, 14, 30000.017098
1, 120, 8, 39999.989078
1, 192, 19, 70000.002736
1, 68, 11, 24999.988029
1, 106, 8, 40000.036550
1, 55, 12, 29999.960923
1, 154, 19, 40000.006780
1, 23, 9, 30000.020240
1, 172, 13, 45000.010642
1, 114, 9, 34999.969316
1, 199, 14, 50000.029981
1, 167, 18, 34999.970493
1, 71, 5, 25000.021609
1, 94, 15, 34999.978892
1, 107, 13, 44999.995876
1, 109, 15, 30000.043661
1, 200, 15, 49999.987410
1, 43, 3, 14999.987627
1, 91, 6, 29999.993029
1, 197, 14, 70000.014439
1, 60, 4, 19999.988212
1, 31, 2, 9999.994223
1, 139, 17, 34999.999829
1, 191, 18, 64999.992711
1, 24, 10, 29999.998303
1, 148, 15, 55000.029395
1, 66, 11, 24999.987349
1, 168, 19, 40000.005167
1, 88, 7, 29999.980533
1, 27, 12, 34999.998209
1, 194, 13, 64999.996228
1, 189, 16, 50000.029025
1, 146, 13, 45000.015438
1, 71, 5, 24999.956703
1, 191, 18, 65000.017943
1, 127, 9, 45000.006562
1, 182, 19, 39999.977807
1, 55, 12, 30000.025279
1, 12, 11, 54999.978197
1, 154, 19, 40000.036013
1, 133, 13, 49999.988046
1, 187, 14, 44999.974586
1, 188, 15, 50000.020056
1, 87, 6, 24999.981074
1, 50, 8, 24999.992596
1, 64, 9, 30000.004858
1, 164, 18, 70000.025536
1, 186, 14, 45000.002331
1, 25, 10, 29999.988223
1, 110, 14, 27999.987530
1, 66, 11, 22000.007026
1, 134, 15, 59999.983958
1, 187, 14, 45000.029000
1, 102, 8, 29999.990745
1, 33, 4, 18000.024894
1, 195, 13, 61999.971350
1, 139, 17, 35000.006580
1, 73, 5, 20000.002114
1, 189, 16, 49999.989917
1, 66, 11, 24999.992093
1, 128, 10, 35000.033831
1, 52, 10, 24999.976571
1, 69, 12, 29999.986111
1, 87, 6, 25000.007046
1, 79, 11, 34999.999627
1, 144, 11, 36000.009235
1, 186, 14, 44000.020267
1, 197, 14, 69999.976378
1, 133, 13, 50000.024992
1, 61, 4, 19999.962026
1, 170, 12, 45000.025355
1, 152, 17, 30999.979330
1, 46, 3, 14000.012390
1, 47, 5, 19999.998856
1, 89, 8, 34999.993077
1, 60, 4, 20000.010099
1, 5, 4, 20000.017926
1, 105, 7, 34999.970236
1, 189, 16, 50000.039270
1, 27, 12, 34999.969819
1, 64, 9, 30000.016205
1, 141, 10, 49999.972928
1, 53, 10, 24000.026987
1, 179, 12, 55999.977595
1, 6, 5, 25000.005382
1, 29, 2, 10000.010792
1, 69, 12, 29999.973235
1, 69, 12, 30000.018691
1, 168, 19, 39999.986821
1, 60, 4, 20000.035445
1, 16, 1, 4999.962050
1, 114, 9, 35000.028491
1, 186, 14, 45000.011402
1, 6, 5, 24999.963308
1, 51, 9, 25000.002127
1, 64, 9, 29999.988978
1, 117, 11, 45000.032995
1, 190, 17, 59999.976732
1, 74, 6, 25000.020885
1, 154, 19, 40000.015926
1, 82, 12, 25999.989392
1, 6, 5, 23999.972244
1, 65, 10, 30000.032809
1, 38, 9, 22999.971893
1, 172, 13, 42000.023440
1, 169, 12, 59999.987163
1, 185, 13, 49999.991726
1, 80, 12, 30000.032069
1, 131, 11, 39999.969471
1, 45, 3, 15000.021174
1, 85, 6, 30000.000001
1, 84, 14, 35000.002739
1, 121, 9, 44999.995727
1, 20, 6, 24999.978314
1, 8, 7, 35000.021026
1, 153, 18, 34999.999124
1, 114, 9, 34999.995104
1, 49, 7, 24999.992959
1, 93, 12, 40000.014421
1, 137, 17, 34999.984588
1, 45, 3, 14999.999303
1, 191, 18, 64999.993779
1, 28, 14, 45000.028028
1, 65, 10, 30000.002375
1, 149, 17, 64999.956037
1, 97, 14, 30000.020924
1, 68, 11, 24999.979000
1, 38, 9, 23000.046844
1, 190, 17, 56999.969508
1, 180, 12, 59999.983762
1, 67, 11, 25000.023995
1, 194, 13, 64999.978771
1, 13, 12, 60000.015481
1, 173, 13, 43999.995219
1, 144, 11, 32000.021190
1, 28, 14, 43999.965801
1, 6, 5, 25000.019448
1, 80, 12, 30000.012017
1, 137, 17, 34999.973191
1, 136, 10, 50000.038286
1, 136, 10, 50000.000044
1, 158, 12, 40000.003745
1, 2, 1, 4999.977507
1, 63, 8, 30000.023293
1, 126, 17, 34999.976427
1, 159, 14, 45000.010134
1, 68, 11, 24999.987042
1, 11, 10, 49999.996548
1, 149, 17, 64999.995714
1, 74, 6, 24999.989881
1, 65, 10, 30000.015085
1, 28, 14, 44999.999975
1, 135, 9, 45000.007503
1, 108, 16, 34999.990385
1, 60, 4, 19999.995668
1, 34, 5, 19000.013456
1, 110, 14, 23999.999617
1, 3, 2, 7000.022932
1, 5, 4, 19999.968696
