Sender, Receiver, Distance, #hops, Total Time, Used Backbone
1, 196, 179.095312, 20, 44999.998881, false
1, 176, 133.019134, 16, 56000.012922, true
1, 44, 29.944510, 3, 14000.004017, false
1, 174, 123.530085, 14, 44999.996041, true
1, 85, 56.400000, 6, 30000.009685, false
1, 61, 55.106250, 4, 19999.994009, false
1, 37, 82.735694, 8, 21999.992628, true
1, 169, 112.800000, 12, 57999.993426, false
1, 122, 117.775921, 17, 35000.011899, false
1, 82, 120.343153, 12, 26000.007229, true
1, 94, 106.757143, 15, 33999.982802, false
1, 200, 135.023935, 15, 49999.997200, false
1, 5, 40.285714, 4, 19999.993551, false
1, 186, 125.879876, 14, 45000.009322, false
1, 55, 124.103541, 12, 30000.005144, false
1, 123, 125.691716, 16, 29999.987850, false
1, 7, 60.428571, 6, 30000.033050, false
1, 13, 120.857143, 12, 59999.964067, false
1, 130, 89.833530, 11, 40000.021907, false
1, 65, 88.912964, 10, 29999.986722, false
1, 186, 125.879876, 14, 45000.008753, false
1, 151, 137.765625, 12, 59999.987605, false
1, 24, 91.128961, 10, 30000.006203, false
1, 195, 171.869977, 13, 65000.025755, false
1, 120, 103.079047, 8, 39999.981922, false
1, 31, 27.553125, 2, 10000.003815, false
1, 64, 79.900000, 9, 29999.979539, false
1, 56, 133.931067, 13, 35000.023846, false
1, 58, 38.925489, 4, 19999.985542, false
1, 9, 80.571429, 8, 40000.034970, false
1, 33, 44.456482, 4, 17999.974270, true
1, 125, 142.342857, 16, 27000.004380, false
1, 69, 126.570964, 12, 29999.993228, false
1, 128, 85.197381, 10, 35000.031217, false
1, 32, 35.585714, 4, 19999.951740, false
1, 134, 110.124520, 15, 60000.021792, false
1, 70, 136.220596, 13, 35000.009191, false
1, 100, 66.566310, 8, 29999.997818, false
1, 157, 105.343698, 11, 39999.985737, false
1, 198, 131.984824, 14, 55000.024705, false
1, 30, 21.327768, 2, 9999.978282, false
1, 35, 63.285482, 6, 20000.007760, true
1, 128, 85.197381, 10, 34999.984725, false
1, 23, 81.117909, 9, 30000.028137, false
1, 57, 37.600000, 4, 19999.962369, false
1, 184, 122.614329, 13, 50000.040022, false
1, 9, 80.571429, 8, 39999.985747, false
1, 182, 172.818202, 19, 39999.991692, false
1, 17, 22.228241, 2, 10000.021153, false
1, 21, 61.155312, 7, 29999.963828, false
1, 133, 103.965245, 13, 50000.042583, false
1, 142, 94.538001, 11, 39999.954436, false
1, 167, 159.053478, 18, 35000.006034, false
1, 149, 123.805311, 17, 64999.993035, false
1, 52, 94.928223, 10, 25000.043615, false
1, 151, 137.765625, 12, 60000.001090, false
1, 49, 66.684723, 7, 24999.971430, false
1, 187, 128.669261, 14, 45000.014927, false
1, 152, 145.290999, 17, 31000.007534, true
1, 11, 100.714286, 10, 48999.986551, false
1, 71, 47.000000, 5, 24999.975138, false
1, 193, 158.354688, 19, 70000.040476, false
1, 184, 122.614329, 13, 50000.003981, false
1, 77, 76.554636, 9, 34999.959455, false
1, 144, 98.736534, 11, 36000.033413, true
1, 158, 107.724013, 12, 38999.989503, true
1, 122, 117.775921, 17, 34999.983941, false
1, 46, 41.329687, 3, 15000.008604, true
1, 137, 131.531469, 17, 34999.996267, false
1, 54, 114.318478, 12, 30000.001494, false
1, 183, 122.200000, 13, 65000.012161, false
1, 101, 68.814059, 7, 28999.989431, true
1, 109, 120.303813, 15, 25999.996244, false
1, 103, 77.152957, 9, 34999.986921, false
1, 63, 71.171429, 8, 30000.026139, false
1, 170, 113.248725, 12, 45000.008295, false
1, 89, 69.310164, 8, 34999.976322, false
1, 86, 57.292178, 7, 30000.025856, false
1, 86, 57.292178, 7, 29999.991182, false
1, 128, 85.197381, 10, 34999.994994, false
1, 62, 62.845858, 7, 24999.978830, false
1, 196, 179.095312, 20, 45000.025249, false
1, 39, 102.453928, 11, 24999.979288, false
1, 29, 18.800000, 2, 10000.027297, false
1, 113, 75.200000, 8, 39999.988468, false
1, 153, 153.109271, 18, 35000.006285, false
1, 188, 132.169141, 15, 49999.983206, false
1, 7, 60.428571, 6, 30000.013140, false
1, 119, 96.470992, 13, 55000.015973, false
1, 19, 41.367847, 5, 24999.995185, false
1, 168, 166.834801, 19, 40000.010541, false
1, 180, 158.105390, 12, 59999.959789, false
1, 186, 125.879876, 14, 45000.001715, false
1, 131, 93.702181, 11, 40000.009969, true
1, 83, 129.674396, 13, 29999.986017, false
1, 70, 136.220596, 13, 35000.020498, false
1, 185, 123.849000, 13, 50000.005375, false
1, 140, 155.882811, 18, 39999.984465, false
1, 13, 120.857143, 12, 60000.009554, false
1, 9, 80.571429, 8, 40000.016165, false
