Sender, Receiver, Distance, #hops, Total Time, Used Backbone
1, 196, 179.095312, 13, 129999.994070, false
1, 92, 90.284052, 7, 70000.012159, false
1, 79, 93.277838, 8, 79999.997473, false
1, 12, 110.785714, 11, 109999.995763, false
1, 77, 76.554636, 6, 59999.990244, false
1, 182, 172.818202, 13, 130000.027186, false
1, 10, 90.642857, 9, 89999.996374, false
1, 61, 55.106250, 4, 40000.008374, false
1, 151, 137.765625, 10, 100000.000743, false
1, 70, 136.220596, 13, 130000.001171, false
1, 123, 125.691716, 10, 100000.007878, false
1, 122, 117.775921, 9, 89999.974848, false
1, 7, 60.428571, 6, 60000.028384, false
1, 123, 125.691716, 10, 99999.958081, false
1, 32, 35.585714, 3, 30000.034432, false
1, 40, 112.369544, 11, 69999.989976, false
1, 95, 115.431050, 10, 99999.972494, false
1, 12, 110.785714, 11, 110000.005100, false
1, 168, 166.834801, 13, 130000.039238, false
1, 9, 80.571429, 8, 79999.960336, false
1, 151, 137.765625, 10, 100000.015758, false
1, 181, 165.318750, 12, 120000.016490, false
1, 20, 51.226964, 5, 50000.005461, false
1, 138, 139.393811, 11, 109999.967988, false
1, 48, 57.715525, 5, 50000.011084, false
1, 10, 90.642857, 9, 90000.025938, false
1, 13, 120.857143, 12, 119999.956628, false
1, 107, 104.025935, 8, 80000.020843, false
1, 63, 71.171429, 6, 60000.010501, false
1, 98, 142.559640, 13, 129999.978798, false
1, 13, 120.857143, 12, 120000.002977, false
1, 53, 104.587797, 10, 100000.010081, false
1, 91, 82.659375, 6, 59999.984712, false
1, 35, 63.285482, 6, 50000.034105, false
1, 82, 120.343153, 11, 109999.956343, false
1, 32, 35.585714, 3, 30000.021293, false
1, 33, 44.456482, 4, 39999.982485, false
1, 152, 145.290999, 11, 110000.034343, false
1, 31, 27.553125, 2, 19999.966821, false
1, 139, 147.524944, 12, 119999.991118, false
1, 92, 90.284052, 7, 70000.040037, false
1, 2, 10.071429, 1, 9999.987840, false
1, 17, 22.228241, 2, 20000.004143, false
1, 122, 117.775921, 9, 90000.003675, false
1, 67, 107.504081, 10, 99999.995237, false
1, 56, 133.931067, 13, 129999.991657, false
1, 46, 41.329687, 3, 30000.003189, false
1, 54, 114.318478, 11, 109999.998934, false
1, 14, 130.928571, 13, 130000.021085, false
1, 112, 146.533037, 13, 130000.002362, false
1, 112, 146.533037, 13, 129999.987801, false
1, 76, 68.882812, 5, 49999.974320, false
1, 4, 30.214286, 3, 30000.027928, false
1, 23, 81.117909, 8, 79999.997309, false
1, 14, 130.928571, 13, 130000.008439, false
1, 49, 66.684723, 6, 59999.995338, false
1, 151, 137.765625, 10, 99999.970431, false
1, 55, 124.103541, 12, 120000.037249, false
1, 110, 128.853073, 11, 109999.969575, false
1, 122, 117.775921, 9, 89999.986926, false
1, 77, 76.554636, 6, 60000.008475, false
1, 112, 146.533037, 13, 129999.987615, false
1, 61, 55.106250, 4, 40000.027500, false
1, 154, 161.177824, 13, 129999.985536, false
1, 64, 79.900000, 7, 70000.008242, false
1, 21, 61.155312, 6, 59999.992156, false
1, 123, 125.691716, 10, 100000.010741, false
1, 77, 76.554636, 6, 60000.007640, false
1, 91, 82.659375, 6, 59999.981691, false
1, 196, 179.095312, 13, 129999.994343, false
1, 111, 137.608463, 12, 120000.026937, false
1, 96, 124.315866, 11, 109999.972468, false
1, 49, 66.684723, 6, 60000.020273, false
1, 13, 120.857143, 12, 119999.985291, false
1, 53, 104.587797, 10, 100000.004311, false
1, 139, 147.524944, 12, 120000.010633, false
1, 123, 125.691716, 10, 99999.982423, false
1, 21, 61.155312, 6, 60000.028468, false
1, 96, 124.315866, 11, 109999.993621, false
1, 17, 22.228241, 2, 20000.016117, false
1, 107, 104.025935, 8, 79999.990440, false
1, 109, 120.303813, 10, 99999.992767, false
1, 53, 104.587797, 10, 100000.004820, false
1, 12, 110.785714, 11, 109999.980114, false
1, 67, 107.504081, 10, 100000.025993, false
1, 65, 88.912964, 8, 79999.990303, false
1, 153, 153.109271, 12, 119999.991481, false
1, 16, 13.776562, 1, 10000.009759, false
1, 55, 124.103541, 12, 119999.983063, false
1, 77, 76.554636, 6, 60000.019492, false
1, 82, 120.343153, 11, 109999.989645, false
1, 154, 161.177824, 13, 130000.008954, false
1, 23, 81.117909, 8, 80000.011979, false
1, 52, 94.928223, 9, 89999.975609, false
1, 106, 96.435937, 7, 70000.026045, false
1, 126, 150.987850, 13, 129999.995480, false
1, 63, 71.171429, 6, 59999.973522, false
1, 52, 94.928223, 9, 90000.013628, false
1, 110, 128.853073, 11, 110000.003031, false
1, 66, 98.131990, 9, 89999.977177, false
